check_column,disease_class,PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
0,RA,33538611,Successful discontinuation of biological disease-modifying antirheumatic drugs in patients with rheumatoid arthritis in real-world settings,"Ochiai M, Tanaka E, Sato E, Inoue E, Abe M, Saka K, Sugano E, Sugitani N, Higuchi Y, Yamaguchi R, Sugimoto N, Ikari K, Nakajima A, Yamanaka H, Harigai M.",Mod Rheumatol. 2021 Jul;31(4):790-795. doi: 10.1080/14397595.2021.1883252. Epub 2021 Mar 1.,Ochiai M,Mod Rheumatol,2021,2021/02/04,,,10.1080/14397595.2021.1883252
0,RA,33410490,Effectiveness and safety of treat-to-target strategy in elderly-onset rheumatoid arthritis: a 3-year prospective observational study,"Sugihara T, Ishizaki T, Onoguchi W, Baba H, Matsumoto T, Iga S, Kubo K, Kamiya M, Hirano F, Hosoya T, Miyasaka N, Harigai M.",Rheumatology (Oxford). 2021 Sep 1;60(9):4252-4261. doi: 10.1093/rheumatology/keaa922.,Sugihara T,Rheumatology (Oxford),2021,2021/01/07,,,10.1093/rheumatology/keaa922
0,SLE,33693676,"Independent associations of lymphopenia and neutropenia in patients with systemic lupus erythematosus: a longitudinal, multinational study","Kandane-Rathnayake R, Louthrenoo W, Golder V, Luo SF, Wu YJ, Lateef A, Cho J, Li Z, An Y, Hamijoyo L, Navarra S, Zamora L, Katsumata Y, Harigai M, Sockalingam S, Chan M, Chen YH, O'Neill S, Goldblatt F, Hao Y, Zhang Z, Kikuchi J, Takeuchi T, Lau CS, Nikpour M, Morand E, Hoi A; Asia Pacific Lupus Collaboration.",Rheumatology (Oxford). 2021 Nov 3;60(11):5185-5193. doi: 10.1093/rheumatology/keab217.,Kandane-Rathnayake R,Rheumatology (Oxford),2021,2021/03/11,PMC8566254,,10.1093/rheumatology/keab217
0,VAS,32639002,Clinical impact of urinary CD11b and CD163 on the renal outcomes of anti-neutrophil cytoplasmic antibody-associated glomerulonephritis,"Yokoe Y, Tsuboi N, Imaizumi T, Kitagawa A, Karasawa M, Ozeki T, Endo N, Sawa Y, Kato S, Katsuno T, Maruyama S, Yamagata K, Usui J, Nagata M, Sada KE, Sugiyama H, Amano K, Arimura Y, Atsumi T, Yuzawa Y, Dobashi H, Takasaki Y, Harigai M, Hasegawa H, Makino H, Matsuo S; Japan Research Committee of the Ministry of Health, Labour, and Welfare for Intractable Vasculitis and for Intractable Renal Disease.",Nephrol Dial Transplant. 2021 Jul 23;36(8):1452-1463. doi: 10.1093/ndt/gfaa097.,Yokoe Y,Nephrol Dial Transplant,2021,2020/07/09,,,10.1093/ndt/gfaa097
0,MYO,32757711,Tumour necrosis factor inhibitor-induced myositis in a patient with ulcerative colitis,"Yoshida A, Katsumata Y, Hirahara S, Hanaoka M, Ochiai M, Kobayashi M, Harigai M.",Mod Rheumatol Case Rep. 2021 Jan;5(1):156-161. doi: 10.1080/24725625.2020.1800958. Epub 2020 Aug 6.,Yoshida A,Mod Rheumatol Case Rep,2021,2020/08/08,,,10.1080/24725625.2020.1800958
0,RA,32609062,Adherence to denosumab for the treatment of osteoporosis in Japanese patients with rheumatoid arthritis: Results from the IORRA cohort study,"Nakayama M, Furuya T, Inoue E, Tanaka E, Ikari K, Taniguchi A, Yamanaka H, Harigai M.",Mod Rheumatol. 2021 Mar;31(2):510-513. doi: 10.1080/14397595.2020.1789319. Epub 2020 Jul 15.,Nakayama M,Mod Rheumatol,2021,2020/07/02,,,10.1080/14397595.2020.1789319
0,VAS,33664381,Exploratory classification of clinical phenotypes in Japanese patients with antineutrophil cytoplasmic antibody-associated vasculitis using cluster analysis,"Watanabe H, Sada KE, Harigai M, Amano K, Dobashi H, Takasaki Y, Fujimoto S, Atsumi T, Yamagata K, Homma S, Arimura Y, Makino H; Research Committee of Intractable Vasculitis Syndrome (JPVAS); Research Committee of Intractable Renal Disease of the Ministry of Health, Labour, and Welfare of Japan.",Sci Rep. 2021 Mar 4;11(1):5223. doi: 10.1038/s41598-021-84627-6.,Watanabe H,Sci Rep,2021,2021/03/05,PMC7933174,,10.1038/s41598-021-84627-6
0,RA,32812455,"Polypharmacy, declined walking speed, bent back, and disability associated with a history of falls in Japanese patients with rheumatoid arthritis: Results from the IORRA cohort study","Oh K, Furuya T, Ikari K, Inoue E, Tanaka E, Yamanaka H, Okazaki K, Harigai M.",Mod Rheumatol. 2021 May;31(3):764-767. doi: 10.1080/14397595.2020.1812200. Epub 2020 Sep 7.,Oh K,Mod Rheumatol,2021,2020/08/20,,,10.1080/14397595.2020.1812200
0,RA,32202187,A simple screening test to assess risk of falls in Japanese patients with rheumatoid arthritis: Results from the IORRA cohort study,"Oh K, Furuya T, Inoue E, Tanaka E, Ikari K, Taniguchi A, Yamanaka H, Okazaki K, Harigai M.",Mod Rheumatol. 2021 Mar;31(2):506-509. doi: 10.1080/14397595.2020.1746016. Epub 2020 Apr 14.,Oh K,Mod Rheumatol,2021,2020/03/24,,,10.1080/14397595.2020.1746016
0,SLE,33529397,A case of non-uremic calciphylaxis associated with systemic lupus erythematosus and antiphospholipid syndrome,"Tsuchiya K, Endo C, Kondo A, Fukuya Y, Honda S, Hirahara S, Majima M, Hanaoka M, Harigai M, Ishiguro N.",J Dermatol. 2021 Apr;48(4):e157-e158. doi: 10.1111/1346-8138.15765. Epub 2021 Feb 2.,Tsuchiya K,J Dermatol,2021,2021/02/02,,,10.1111/1346-8138.15765
0,VAS,34850081,"Establishing Clinical Remission Criteria and the Framework of a Treat-To-Target Algorithm for Takayasu arteritis: Results of a Delphi Exercise Carried out by an Expert Panel of the Japan Research Committee of the Ministry of Health, Labour, and Welfare for intractable vasculitis","Sugihara T, Nakaoka Y, Uchida HA, Yoshifuji H, Maejima Y, Watanabe Y, Amiya E, Tanemoto K, Miyata T, Umezawa N, Manabe Y, Ishizaki J, Shirai T, Nagafuchi H, Hasegawa H, Miyamae T, Niiro H, Ito S, Ishii T, Isobe M, Harigai M.",Mod Rheumatol. 2021 Nov 27:roab081. doi: 10.1093/mr/roab081. Online ahead of print.,Sugihara T,Mod Rheumatol,2021,2021/12/01,,,10.1093/mr/roab081
0,RA,34751783,Impact of Concomitant Chronic Kidney Disease on Hospitalized Infections and Remission in Patients with Rheumatoid Arthritis: Results from the IORRA Cohort,"Higuchi T, Tanaka E, Inoue E, Abe M, Saka K, Sugano E, Sugitani N, Higuchi Y, Ochiai M, Yamaguchi R, Sugimoto N, Ikari K, Yamanaka H, Harigai M.",Mod Rheumatol. 2021 Nov 9:roab082. doi: 10.1093/mr/roab082. Online ahead of print.,Higuchi T,Mod Rheumatol,2021,2021/11/09,,,10.1093/mr/roab082
0,RA,34465391,Impact of the HLA-DRB1 shared epitope on responses to treatment with tofacitinib or abatacept in patients with rheumatoid arthritis,"Hirose W, Harigai M, Amano K, Hidaka T, Itoh K, Aoki K, Nakashima M, Nagasawa H, Komano Y, Nanki T; TOF-ABT Study Group.",Arthritis Res Ther. 2021 Aug 31;23(1):228. doi: 10.1186/s13075-021-02612-w.,Hirose W,Arthritis Res Ther,2021,2021/09/01,PMC8407060,,10.1186/s13075-021-02612-w
0,RA,32164778,Identification of molecules associated with response to abatacept in patients with rheumatoid arthritis,"Yokoyama-Kokuryo W, Yamazaki H, Takeuchi T, Amano K, Kikuchi J, Kondo T, Nakamura S, Sakai R, Hirano F, Nanki T, Koike R, Harigai M.",Arthritis Res Ther. 2020 Mar 12;22(1):46. doi: 10.1186/s13075-020-2137-y.,Yokoyama-Kokuryo W,Arthritis Res Ther,2020,2020/03/14,PMC7068901,,10.1186/s13075-020-2137-y
0,SLE,32990111,Validation of the Japanese version of the Lupus Damage Index Questionnaire in a large observational cohort: A two-year prospective study,"Okamoto Y, Katsumata Y, Baba S, Kawaguchi Y, Harigai M.",Mod Rheumatol. 2021 Jul;31(4):834-842. doi: 10.1080/14397595.2020.1829341. Epub 2020 Oct 13.,Okamoto Y,Mod Rheumatol,2021,2020/09/29,,,10.1080/14397595.2020.1829341
0,VAS,33743769,Usefulness of tissue inhibitor of metalloproteinase 1 as a predictor of sustained remission in patients with antineutrophil cytoplasmic antibody-associated vasculitis,"Ishizaki J, Takemori A, Horie K, Hiraoka D, Suemori K, Matsumoto T, Sada KE, Amano K, Harigai M, Arimura Y, Makino H, Takenaka K, Takemori N, Hasegawa H; Research Committee of Intractable Vasculitis Syndrome and the Research Committee of Intractable Renal Disease of the Ministry of Health, Labour and Welfare of Japan.",Arthritis Res Ther. 2021 Mar 20;23(1):91. doi: 10.1186/s13075-021-02471-5.,Ishizaki J,Arthritis Res Ther,2021,2021/03/21,PMC7980538,,10.1186/s13075-021-02471-5
0,VAS,34918136,"Nation-wide survey of the treatment trend of microscopic polyangiitis and granulomatosis with polyangiitis in Japan using the Japanese Ministry of Health, Labour and Welfare Database","Nagasaka K, Kaname S, Amano K, Kato M, Katsumata Y, Komagata Y, Sada KE, Tanaka E, Tamura N, Dobashi H, Nanki T, Harabuchi Y, Bando M, Homma S, Wada T, Harigai M.",Mod Rheumatol. 2021 Oct 7:roab088. doi: 10.1093/mr/roab088. Online ahead of print.,Nagasaka K,Mod Rheumatol,2021,2021/12/17,,,10.1093/mr/roab088
0,SLE,32838624,The risk of hospitalized infection in patients with systemic lupus erythematosus treated with hydroxychloroquine,"Sakai R, Honda S, Tanaka E, Majima M, Konda N, Takada H, Harigai M.",Lupus. 2020 Nov;29(13):1712-1718. doi: 10.1177/0961203320952853. Epub 2020 Aug 24.,Sakai R,Lupus,2020,2020/08/26,,,10.1177/0961203320952853
0,RA,34342724,Vitamin D deficiency is a risk factor for new fractures in Japanese postmenopausal women with rheumatoid arthritis: results from the IORRA cohort study,"Nakayama M, Furuya T, Inoue E, Tanaka E, Ikari K, Yamanaka H, Harigai M.",Arch Osteoporos. 2021 Aug 3;16(1):119. doi: 10.1007/s11657-021-00982-x.,Nakayama M,Arch Osteoporos,2021,2021/08/03,,,10.1007/s11657-021-00982-x
0,RA,32657636,Clinical characteristics and social productivity levels of patients with malignant rheumatoid arthritis based on a nationwide clinical database in Japan: annual survey from 2003 to 2013,"Abe Y, Saeki K, Dobashi H, Kawakami T, Hayashi T, Kobayashi M, Kaname S, Harigai M, Tamura N.",Mod Rheumatol. 2021 May;31(3):621-628. doi: 10.1080/14397595.2020.1795390. Epub 2020 Jul 31.,Abe Y,Mod Rheumatol,2021,2020/07/14,,,10.1080/14397595.2020.1795390
0,VAS,31859544,Rationale of concomitant cyclophosphamide for remission-induction in patients with antineutrophil cytoplasmic antibody-associated vasculitis: A propensity score-matched analysis of two nationwide prospective cohort studies,"Watanabe H, Sada KE, Matsumoto Y, Harigai M, Amano K, Fujimoto S, Dobashi H, Yuzawa Y, Yamagata K, Muso E, Arimura Y, Makino H.",Mod Rheumatol. 2021 Jan;31(1):205-213. doi: 10.1080/14397595.2019.1707997. Epub 2020 Jan 6.,Watanabe H,Mod Rheumatol,2021,2019/12/21,,,10.1080/14397595.2019.1707997
0,PED,33740993,Anti-SAE autoantibody-positive Japanese patient with juvenile dermatomyositis complicated with interstitial lung disease - a case report,"Kishi T, Tani Y, Okiyama N, Mizuochi K, Ichimura Y, Harigai M, Nagata S, Miyamae T.",Pediatr Rheumatol Online J. 2021 Mar 19;19(1):34. doi: 10.1186/s12969-021-00532-2.,Kishi T,Pediatr Rheumatol Online J,2021,2021/03/20,PMC7980636,,10.1186/s12969-021-00532-2
0,other,33797038,The utility of liver transplantation to treat acute liver failure caused by adult-onset Still's disease: case reports,"Ogasawara Y, Kogiso T, Kotera Y, Omori A, Konda N, Sugano E, Sagawa T, Taniai M, Harigai M, Egawa H, Yamamoto M, Tokushige K.",Clin J Gastroenterol. 2021 Jun;14(3):866-875. doi: 10.1007/s12328-021-01398-3. Epub 2021 Apr 1.,Ogasawara Y,Clin J Gastroenterol,2021,2021/04/02,,,10.1007/s12328-021-01398-3
0,RA,32098857,Evaluation of hepatitis B virus in clinical trials of baricitinib in rheumatoid arthritis,"Harigai M, Winthrop K, Takeuchi T, Hsieh TY, Chen YM, Smolen JS, Burmester G, Walls C, Wu WS, Dickson C, Liao R, Genovese MC.",RMD Open. 2020 Feb;6(1):e001095. doi: 10.1136/rmdopen-2019-001095.,Harigai M,RMD Open,2020,2020/02/27,PMC7046961,,10.1136/rmdopen-2019-001095
0,VAS,33046139,Treatment-related damage in elderly-onset ANCA-associated vasculitis: safety outcome analysis of two nationwide prospective cohort studies,"Sada KE, Ohashi K, Asano Y, Hayashi K, Morishita M, Watanabe H, Matsumoto Y, Fujimoto S, Takasaki Y, Yamagata K, Banno S, Dobashi H, Amano K, Harigai M, Arimura Y, Makino H; Japan Research Committee of the Ministry of Health, Labour, and Welfare for Intractable Vasculitis (JPVAS) and the Research Committee of Intractable Renal Disease of the Ministry of Health, Labour, and Welfare of Japan.",Arthritis Res Ther. 2020 Oct 12;22(1):236. doi: 10.1186/s13075-020-02341-6.,Sada KE,Arthritis Res Ther,2020,2020/10/13,PMC7552473,,10.1186/s13075-020-02341-6
0,RA,32737115,Association of the RPA3-UMAD1 locus with interstitial lung diseases complicated with rheumatoid arthritis in Japanese,"Shirai Y, Honda S, Ikari K, Kanai M, Takeda Y, Kamatani Y, Morisaki T, Tanaka E, Kumanogoh A, Harigai M, Okada Y.",Ann Rheum Dis. 2020 Oct;79(10):1305-1309. doi: 10.1136/annrheumdis-2020-217256. Epub 2020 Jul 31.,Shirai Y,Ann Rheum Dis,2020,2020/08/02,PMC7509520,,10.1136/annrheumdis-2020-217256
0,SLE,32330794,Non-increased risk of thrombosis by steroid pulse therapy in patients with lupus nephritis from the Japanese health insurance database,"Honda S, Sakai R, Tanaka E, Majima M, Konda N, Takada H, Yamanaka H, Harigai M.",Thromb Res. 2020 Jun;190:86-88. doi: 10.1016/j.thromres.2020.04.006. Epub 2020 Apr 12.,Honda S,Thromb Res,2020,2020/04/25,,,10.1016/j.thromres.2020.04.006
0,PED,33743728,Joint contractures responsive to immunosuppressive therapy in a girl with childhood-onset systemic sclerosis double-seropositive for rare anti-nucleolar autoantibodies: a case report,"Tanaka R, Tani Y, Kaburaki Y, Kinoshita M, Kawaguchi Y, Okazaki Y, Kuwana M, Harigai M, Nagata S, Miyamae T.",Pediatr Rheumatol Online J. 2021 Mar 20;19(1):37. doi: 10.1186/s12969-021-00525-1.,Tanaka R,Pediatr Rheumatol Online J,2021,2021/03/21,PMC7981830,,10.1186/s12969-021-00525-1
0,RA,33028675,Changes in selected haematological parameters associated with JAK1/JAK2 inhibition observed in patients with rheumatoid arthritis treated with baricitinib,"Kay J, Harigai M, Rancourt J, Dickson C, Melby T, Issa M, de la Torre I, Isaka Y, Cardoso A, Saifan C, Keystone EC, van Vollenhoven RF, Giles JT, Huizinga TW, Kremer JM.",RMD Open. 2020 Oct;6(3):e001370. doi: 10.1136/rmdopen-2020-001370.,Kay J,RMD Open,2020,2020/10/08,PMC7722368,,10.1136/rmdopen-2020-001370
0,VAS,32264967,Associated factors of poor treatment outcomes in patients with giant cell arteritis: clinical implication of large vessel lesions,"Sugihara T, Hasegawa H, Uchida HA, Yoshifuji H, Watanabe Y, Amiya E, Maejima Y, Konishi M, Murakawa Y, Ogawa N, Furuta S, Katsumata Y, Komagata Y, Naniwa T, Okazaki T, Tanaka Y, Takeuchi T, Nakaoka Y, Arimura Y, Harigai M, Isobe M; Japan Research Committee of the Ministry of Health, Labour, and Welfare for Intractable Vasculitis (JPVAS).",Arthritis Res Ther. 2020 Apr 7;22(1):72. doi: 10.1186/s13075-020-02171-6.,Sugihara T,Arthritis Res Ther,2020,2020/04/09,PMC7137303,,10.1186/s13075-020-02171-6
0,SLE,32841510,COVID-19 infection in patients with systemic lupus erythematosus: Data from the Asia Pacific Lupus Collaboration,"Cho J, Kandane-Rathnayake R, Louthrenoo W, Hoi A, Golder V, Chen YH, Luo SF, Wu YJ, Hamijoyo L, Lau CS, Navarra S, Zamora L, Tee M, Flora A Jr, Li ZG, An Y, Sockalingam S, Katsumata Y, Harigai M, Hao Y, Zhang Z, Kikuchi J, Takeuchi T, Basnayake D, Goldblatt F, Chan M, Ng KPL, Bae SC, Oon S, O'Neill S, Gibson K, Kumar S, Law AHN, Tugnet N, Tanaka Y, Nikpour M, Morand E, Lateef A.",Int J Rheum Dis. 2020 Aug;23(9):1255-1257. doi: 10.1111/1756-185X.13937. Epub 2020 Aug 25.,Cho J,Int J Rheum Dis,2020,2020/08/26,PMC7461525,,10.1111/1756-185X.13937
0,SLE,32264742,Serum levels of soluble programmed cell death protein 1 and soluble programmed cell death protein ligand 2 are increased in systemic lupus erythematosus and associated with the disease activity,"Hirahara S, Katsumata Y, Kawasumi H, Kawaguchi Y, Harigai M.",Lupus. 2020 Jun;29(7):686-696. doi: 10.1177/0961203320916517. Epub 2020 Apr 7.,Hirahara S,Lupus,2020,2020/04/09,,,10.1177/0961203320916517
0,SS,32144871,Single nucleotide polymorphisms of the HIF1A gene are associated with susceptibility to pulmonary arterial hypertension in systemic sclerosis and contribute to SSc-PAH disease severity,"Takagi K, Kawamoto M, Higuchi T, Tochimoto A, Harigai M, Kawaguchi Y.",Int J Rheum Dis. 2020 May;23(5):674-680. doi: 10.1111/1756-185X.13822. Epub 2020 Mar 6.,Takagi K,Int J Rheum Dis,2020,2020/03/08,,,10.1111/1756-185X.13822
0,RA,30784354,Safety profile of baricitinib in Japanese patients with active rheumatoid arthritis with over 1.6 years median time in treatment: An integrated analysis of Phases 2 and 3 trials,"Harigai M, Takeuchi T, Smolen JS, Winthrop KL, Nishikawa A, Rooney TP, Saifan CG, Issa M, Isaka Y, Akashi N, Ishii T, Tanaka Y.",Mod Rheumatol. 2020 Jan;30(1):36-43. doi: 10.1080/14397595.2019.1583711. Epub 2019 Mar 21.,Harigai M,Mod Rheumatol,2020,2019/02/21,,,10.1080/14397595.2019.1583711
0,VAS,33076992,Association of TERT and DSP variants with microscopic polyangiitis and myeloperoxidase-ANCA positive vasculitis in a Japanese population: a genetic association study,"Kawasaki A, Namba N, Sada KE, Hirano F, Kobayashi S, Nagasaka K, Sugihara T, Ono N, Fujimoto T, Kusaoi M, Tamura N, Yamagata K, Sumida T, Hashimoto H, Ozaki S, Makino H, Arimura Y, Harigai M, Tsuchiya N.",Arthritis Res Ther. 2020 Oct 16;22(1):246. doi: 10.1186/s13075-020-02347-0.,Kawasaki A,Arthritis Res Ther,2020,2020/10/20,PMC7574242,,10.1186/s13075-020-02347-0
0,RA,32715099,Factors associated with osteoporosis medication use in Japanese patients with rheumatoid arthritis: Results from the Institute of Rheumatology Rheumatoid Arthritis cohort study,"Nakayama M, Furuya T, Inoue E, Tanaka E, Ikari K, Taniguchi A, Yamanaka H, Harigai M.",Osteoporos Sarcopenia. 2020 Jun;6(2):82-87. doi: 10.1016/j.afos.2020.04.003. Epub 2020 May 20.,Nakayama M,Osteoporos Sarcopenia,2020,2020/07/28,PMC7374244,,10.1016/j.afos.2020.04.003
1,other,33324772,Management of End-stage Renal Disease Associated with Systemic Rheumatic Diseases,"Honda S, Katsumata Y, Karasawa K, Yamanaka H, Harigai M.",JMA J. 2020 Jan 15;3(1):20-28. doi: 10.31662/jmaj.2019-0020. Epub 2019 Sep 10.,Honda S,JMA J,2020,2020/12/16,PMC7733740,,10.31662/jmaj.2019-0020
1,other,34915575,Effectiveness and safety of subcutaneous abatacept in biologic-naïve RA patients at Week 52: A Japanese multicentre investigational study (ORIGAMI study),"Tamura N, Azuma T, Misaki K, Yamaguchi R, Hirano F, Sugiyama E, Kanai D, Murakawa Y, Oribe M, Kimata T, Aoki K, Sugiura T, Takasugi K, Takakubo Y, Tomita Y, Isozaki T, Nanki T, Katsuyama N, Kuroiwa T, Oshikawa H, Kaneko M, Fujinaga H, Saito K, Tanaka E, Inoue E, Yoshizawa Y, Matsumoto S, Yamanaka H, Harigai M.",Mod Rheumatol. 2021 Oct 8:roab090. doi: 10.1093/mr/roab090. Online ahead of print.,Tamura N,Mod Rheumatol,2021,2021/12/16,,,10.1093/mr/roab090
1,other,33134810,"An open-label, randomized controlled trial of sulfamethoxazole-trimethoprim for Pneumocystis prophylaxis: results of 52-week follow-up","Utsunomiya M, Dobashi H, Odani T, Saito K, Yokogawa N, Nagasaka K, Takenaka K, Soejima M, Sugihara T, Hagiyama H, Hirata S, Matsui K, Nonomura Y, Kondo M, Suzuki F, Nawata Y, Tomita M, Kihara M, Yokoyama-Kokuryo W, Hirano F, Yamazaki H, Sakai R, Nanki T, Koike R, Miyasaka N, Harigai M.",Rheumatol Adv Pract. 2020 Jul 6;4(2):rkaa029. doi: 10.1093/rap/rkaa029. eCollection 2020.,Utsunomiya M,Rheumatol Adv Pract,2020,2020/11/02,PMC7585401,,10.1093/rap/rkaa029
1,other,31910103,Clinical usefulness of anti-M-type phospholipase-A-receptor antibodies in patients with membranous nephropathy and the comparison of three quantification methods,"Katsumata Y, Okamoto Y, Moriyama T, Moriyama R, Kawamoto M, Hanaoka M, Uchida K, Nitta K, Harigai M.",Immunol Med. 2020 Mar;43(1):47-56. doi: 10.1080/25785826.2019.1710079. Epub 2020 Jan 7.,Katsumata Y,Immunol Med,2020,2020/01/08,,,10.1080/25785826.2019.1710079
1,other,32879220,Current Trends in Epidemiology and Clinical Features of Thromboangiitis Obliterans in Japan　- A Nationwide Survey Using the Medical Support System Database,"Watanabe Y, Miyata T, Shigematsu K, Tanemoto K, Nakaoka Y, Harigai M; Japan Research Committee of the Ministry of Health, Labour, and Welfare for Intractable Vasculitis (JPVAS).",Circ J. 2020 Sep 25;84(10):1786-1796. doi: 10.1253/circj.CJ-19-1165. Epub 2020 Sep 1.,Watanabe Y,Circ J,2020,2020/09/04,,,10.1253/circj.CJ-19-1165
